epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,186.656,1.13291,1.047,1.17436,0.9074,0.77988,0.88197,0.51406,1.55922,1.12625,1.42594,0.00017823,0.00017823,0.00017823
43,190.531,1.15049,1.02251,1.19561,0.85362,0.85892,0.85763,0.53063,1.53475,1.12497,1.40761,0.00017526,0.00017526,0.00017526
44,194.307,1.10435,0.97913,1.13823,0.85672,0.8403,0.87916,0.52302,1.54368,1.13534,1.40717,0.00017229,0.00017229,0.00017229
45,198.171,1.13004,0.98943,1.16601,0.86453,0.87553,0.90062,0.52724,1.55724,1.13404,1.41823,0.00016932,0.00016932,0.00016932
46,201.966,1.08222,0.95663,1.1412,0.86289,0.81193,0.86885,0.53987,1.53972,1.06356,1.42214,0.00016635,0.00016635,0.00016635
47,205.831,1.0813,0.96138,1.16704,0.82551,0.83149,0.86893,0.53705,1.53046,1.06296,1.41782,0.00016338,0.00016338,0.00016338
48,209.63,1.05583,0.91629,1.13571,0.85753,0.78824,0.85861,0.50854,1.58853,1.13515,1.43649,0.00016041,0.00016041,0.00016041
49,213.515,1.0802,0.9176,1.13231,0.87468,0.86744,0.90554,0.51836,1.60915,1.08247,1.46254,0.00015744,0.00015744,0.00015744
50,217.379,1.10428,0.93256,1.16,0.91211,0.8857,0.91954,0.55321,1.52777,1.05922,1.41522,0.00015447,0.00015447,0.00015447
51,221.248,1.0937,0.92746,1.15017,0.89798,0.87255,0.9086,0.52893,1.58597,1.14804,1.43944,0.0001515,0.0001515,0.0001515
52,225.047,1.04998,0.92422,1.12595,0.84399,0.88663,0.90869,0.52833,1.59655,1.18351,1.44679,0.00014853,0.00014853,0.00014853
53,232.026,1.06368,0.89548,1.12146,0.84316,0.87445,0.89898,0.53883,1.57696,1.20495,1.43016,0.00014556,0.00014556,0.00014556
54,239.827,1.06032,0.91033,1.11619,0.88471,0.88308,0.89701,0.53396,1.60121,1.07661,1.44919,0.00014259,0.00014259,0.00014259
55,248.335,1.04729,0.89578,1.12003,0.8961,0.86404,0.89491,0.52677,1.58416,1.02225,1.45547,0.00013962,0.00013962,0.00013962
56,256.937,0.97524,0.83984,1.09695,0.87307,0.81498,0.85152,0.49986,1.62646,1.05258,1.51424,0.00013665,0.00013665,0.00013665
57,266.081,1.02803,0.861,1.12126,0.89709,0.84588,0.88365,0.52563,1.60845,1.0303,1.4796,0.00013368,0.00013368,0.00013368
58,274.839,1.02786,0.85643,1.11006,0.91045,0.8346,0.88642,0.51708,1.62159,1.04416,1.50441,0.00013071,0.00013071,0.00013071
59,283.884,1.03339,0.86585,1.11643,0.88278,0.8491,0.89474,0.49064,1.65783,1.11324,1.52499,0.00012774,0.00012774,0.00012774
60,291.902,1.03116,0.88889,1.11811,0.9021,0.87975,0.92005,0.5091,1.60659,1.07234,1.4711,0.00012477,0.00012477,0.00012477
61,300.963,0.99843,0.86987,1.09855,0.9228,0.89125,0.9262,0.50369,1.6079,1.05039,1.4869,0.0001218,0.0001218,0.0001218
62,308.818,0.97929,0.82696,1.10409,0.90951,0.88279,0.92051,0.51882,1.61717,1.01683,1.48325,0.00011883,0.00011883,0.00011883
63,318.342,1.00457,0.84329,1.1003,0.91265,0.86067,0.91413,0.51303,1.66218,1.04583,1.5221,0.00011586,0.00011586,0.00011586
64,324.218,0.99548,0.85055,1.11885,0.9147,0.86995,0.92522,0.53108,1.57069,1.0012,1.4486,0.00011289,0.00011289,0.00011289
65,328.101,0.98487,0.84596,1.09721,0.92539,0.863,0.91556,0.4948,1.6665,1.12663,1.51826,0.00010992,0.00010992,0.00010992
66,331.96,0.98904,0.82438,1.09723,0.91295,0.83688,0.89915,0.51924,1.65077,1.04707,1.52514,0.00010695,0.00010695,0.00010695
67,335.837,1.00691,0.82659,1.10924,0.8796,0.87066,0.90467,0.52208,1.64281,1.02147,1.52188,0.00010398,0.00010398,0.00010398
68,339.653,0.95786,0.79125,1.09014,0.91231,0.84153,0.90131,0.50323,1.6763,1.03146,1.52484,0.00010101,0.00010101,0.00010101
69,343.506,0.97718,0.79307,1.08851,0.91072,0.86133,0.90695,0.5221,1.60664,0.9761,1.52014,9.804e-05,9.804e-05,9.804e-05
70,347.356,0.97198,0.81521,1.08754,0.91899,0.85773,0.91568,0.52859,1.60174,0.96712,1.49258,9.507e-05,9.507e-05,9.507e-05
71,351.21,0.94865,0.76612,1.07098,0.92931,0.85013,0.90782,0.53999,1.56713,0.96942,1.46669,9.21e-05,9.21e-05,9.21e-05
72,355.073,0.92705,0.77372,1.0627,0.91857,0.85703,0.90969,0.51961,1.61585,0.9874,1.49851,8.913e-05,8.913e-05,8.913e-05
73,358.873,0.92905,0.76873,1.06559,0.9041,0.84401,0.90723,0.54387,1.52794,0.96737,1.43184,8.616e-05,8.616e-05,8.616e-05
74,362.657,0.93741,0.76256,1.07899,0.89005,0.83409,0.88249,0.52551,1.57263,1.02394,1.47409,8.319e-05,8.319e-05,8.319e-05
75,366.5,0.93845,0.7688,1.08293,0.85203,0.83531,0.8753,0.53195,1.521,1.01197,1.45092,8.022e-05,8.022e-05,8.022e-05
